,Release date,Artist,Album,Genre,Label,Producer
0,December 1 2016,Sechs Kies,2016 Re-ALBUM,"K-pop, hip hop, dance-pop, R&B",YG Entertainment,
1,December 2 2016,Avenged Sevenfold,The Best of 2005–2013,"Heavy metal, hard rock",Warner Bros.,"Adam Cook, Andrew Murdock, Avenged Sevenfold, Mike Elizondo, Terry Date"
2,December 2 2016,Childish Gambino,"""Awaken, My Love!""","R&B, soul, funk, psychedelic soul, psychedelic rock",Glassnote,"Childish Gambino, Ludwig Göransson"
3,December 2 2016,deadmau5,W:/2016ALBUM/,"Electro house, progressive house",mau5trap,Joel Zimmerman
4,December 2 2016,Grace VanderWaal,Perfectly Imperfect,Pop,Columbia,Greg Wells
5,December 2 2016,Hilma Nikolaisen,Puzzler,Indie rock,Fysisk Format,
6,December 2 2016,Jean-Michel Jarre,Oxygène 3,Electronic,,Jean-Michel Jarre
7,December 2 2016,John Legend,Darkness and Light,"R&B, soul","Columbia, GOOD","Blake Mills, John Ryan, Greg Kurstin, Miguel, BloodPop, Ludwig Göransson, The Belle Brigade, Eg White"
8,December 2 2016,The Narrative,Golden Silence,"Indie rock, synth-pop",,"Bryan Russell, The Narrative"
9,December 2 2016,Pete Doherty,Hamburg Demonstrations,,"BMG, Clouds Hill",Johann Scheerer
10,December 2 2016,The Rolling Stones,Blue & Lonesome,Blues,Polydor,"Don Was, The Glimmer Twins"
11,December 2 2016,Tiziano Ferro,Il mestiere della vita,Pop,Universal,Michele Canova
12,December 2 2016,Various artists,The Hamilton Mixtape,"Hip hop, R&B, soul, dancehall",Atlantic,"!llmind, Aaron Pearce, Alicia Keys, Andy Thompson, Bill Sherman, Emile Haynie, Francis Farewell Starlite, Frequency, ID Labs, J.Period, Jason Halbert, John Legend, Leo Abrahams, Lin-Manuel Miranda, Mike Elizondo, Regina Spektor, The Roots, Shockwave, The Social Experiment, Stro Elliot, Supa Dups, Tony Esterly, Trooko"
13,December 2 2016,Vaults,Caught in Still Life,,Virgin EMI,
14,December 8 2016,Vizija,Glasno!,Rock,Rock & Roll studio,"Gjorgji Mishkovski, Alan O'Connell"
15,December 9 2016,Ab-Soul,Do What Thou Wilt.,Hip hop,Top Dawg,"Anthony Tiffith, Antydote, ASAP P on the Boards, Bentley Haze, Dave Free, DJ FU, FrancisGotHeat, Juice of All Trades, PakkMusicGroup, Rahki, Skhye Hutch, Sounwave, Tae Beast, Tommy Black, Willie B., WondaGurl"
16,December 9 2016,The Colorist Orchestra & Emilíana Torrini,The Colorist & Emilíana Torrini,,Rough Trade,
17,December 9 2016,Hodgy,Fireplace: TheNotTheOtherSide,Hip hop,"Odd Future, RED","88-Keys, BadBadNotGood, Jonti, Knxwledge, Nottz, Rahki, Unknown Mortal Orchestra"
18,December 9 2016,Isaiah Firebrace,Isaiah,Pop,Sony Music Australia,
19,December 9 2016,J. Cole,4 Your Eyez Only,Hip hop,"Dreamville, Roc Nation","Boi-1da, BLVK, Cardiak, Chargaux, Childish Major, Deputy, Elijah Scarlett, Elite, Frank Dukes, Ibrahim Hamad, J. Cole, Nate Fox, Nate Jones, Nico Segal, Peter Cottontale, Ron Gilmore, Steve Lacy, Theo Crocker, Velous, Vinylz"
20,December 9 2016,Kollegah,Imperator,Hip hop,Alpha Music Empire,
21,December 9 2016,LP,Lost on You,,Vagrant Records,
22,December 9 2016,Maria Taylor,In the Next Life,Indie folk,Flower Moon Records,"Nik Freitas, Maria Taylor."
23,December 9 2016,Neil Young,Peace Trail,Rock,Reprise,"John Hanlon, Neil Young"
24,December 9 2016,Post Malone,Stoney,"Hip hop, R&B",Republic,"Andrew Watt, Cashio, Charlie Handsome, DJ Mustard, FKi 1st, Foreign Teck, Frank Dukes, Illangelo, Justin Mosely, Leon Thomas III, Louis Bell, Metro Boomin, Pharrell Williams, Post Malone, Rex Kudo, Roofeeo, Twice as Nice, Vinylz"
25,December 9 2016,Tech N9ne,The Storm,Hip hop,"Strange, INgrooves","Beatnick, Burna, DJ Rek, Gianni Ca$h, JMac Tracks, Jordan Omley, K-Salaam, Major Seven, Makzilla, Michael Mani, Mr. Porter, N4, The Pushers, Seven, Travis O'Guin"
26,December 12 2016,Big Bang,Made,"Dance-pop, PBR&B, hip hop",YG Entertainment,"G-Dragon, Teddy Park, Taeyang, P.K, Dee.P, Seo Won-jin, T.O.P"
27,December 15 2016,Injury Reserve,Floss,Hip hop,Las Fuegas,Injury Reserve
28,December 16 2016,Anastacia,A 4 App,,"Foureyez, LME",
29,December 16 2016,Bon Jovi,This House Is Not for Sale – Live from the London Palladium,Rock,Island,Obie O'Brien
30,December 16 2016,Buddy Goode,More Rubbish,,"Goode Times Music, ABC Music",
31,December 16 2016,Gabrielle Aplin,Miss You,Pop,Never Fade,Mike Spencer
32,December 16 2016,Kid Cudi,"Passion, Pain & Demon Slayin'",Hip hop,"Wicked Awesome, Republic","A+, Anthony Kilhoffer, Dot da Genius, Idle Kid, J Gramm, Kid Cudi, Mike Dean, Mike Will Made It, Pharrell Williams, Plain Pat"
33,December 16 2016,T.I.,Us or Else: Letter to the System,Hip hop,"Grand Hustle, Roc Nation","BeatsxKD, Brandon Rossi, Deputy, The Digital Natives, Lil' C, Mars, Mike & Keys, Mp808, Nottz, Pierre Medor, The Pusha Beats, Steven Franks, T.I., TB Hits, The-Dream, Trev Case"
34,December 16 2016,Tony Bennett,Tony Bennett Celebrates 90,Jazz,Columbia,
35,December 21 2016,Dec 99th,Dec 99th,,,Ferrari Sheppard
36,December 23 2016,Nine Inch Nails,Not the Actual Events,Industrial rock,The Null Corporation,"Trent Reznor, Atticus Ross"
37,December 30 2016,Omar Rodríguez-López,A Lovejoy,"Electronica, synth-pop, experimental rock",Ipecac,Omar Rodríguez-López
